Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
15016622X100000,Nonpublic School,St Matthias/Transfiguration Sch,353,0,0,0,100.00%,348,1,0,4,0,0,348,5,98.58%
15016624X100000,Nonpublic School,St Nicholas of Tolentine School,368,19,0,0,94.84%,349,0,0,0,0,19,349,19,94.84%
15016626X140000,Nonpublic School,St Nicholas Cathedral,129,0,0,0,100.00%,127,0,0,2,0,0,127,2,98.45%
15016627X100000,Nonpublic School,Bridgeport Catholic - S Campus,279,0,0,0,100.00%,279,0,0,0,0,0,279,0,100.00%
15016630X100000,Nonpublic School,St Monica School,352,0,1,0,99.72%,351,0,0,1,0,0,351,1,99.72%
15016632X100000,Nonpublic School,St Michael School,136,7,0,0,94.85%,135,0,0,1,0,0,135,1,99.26%
15016647X100000,Nonpublic School,St Ladislaus,117,3,0,0,97.44%,112,0,2,1,0,2,112,5,95.73%
15016650Y140000,Nonpublic School,Lydia Urban Academy,15,0,0,0,100.00%,15,0,0,0,0,0,15,0,100.00%
15016662X260000,Nonpublic School,United Educational Cultural Acad,52,0,0,0,100.00%,52,0,0,0,0,0,52,0,100.00%
15016686Z110000,Nonpublic School,Chicago S D A Academy,44,0,0,0,100.00%,44,0,0,0,0,0,44,0,100.00%
15016687X060000,Nonpublic School,Ashburn Lutheran School,37,0,3,0,91.89%,29,0,0,8,0,0,29,8,78.38%
15016692X010000,Nonpublic School,Lake Shore School,172,0,0,0,100.00%,170,2,0,0,0,0,170,2,98.84%
15016693X030000,Nonpublic School,Daystar School,272,0,0,0,100.00%,267,2,3,0,0,0,267,5,98.16%
15016705X060000,Nonpublic School,Holy Family School,298,0,8,8,97.32%,284,0,0,14,0,0,284,14,95.30%
15016712X160000,Nonpublic School,Brickton Montessori School,115,0,0,0,100.00%,110,5,0,0,0,0,110,5,95.65%
15016725X010000,Nonpublic School,Urban Prairie Waldorf School,100,0,0,0,100.00%,65,12,0,23,0,0,65,35,65.00%
15016735X160000,Nonpublic School,Beverly Montessori School,63,0,0,0,100.00%,57,5,1,0,0,0,57,6,90.48%
15016738X160000,Nonpublic School,Rogers Park Montessori School,359,0,0,0,100.00%,353,3,0,3,0,0,353,6,98.33%
15016743Z010000,Nonpublic School,Francis W Parker School,935,0,0,0,100.00%,930,2,0,3,0,0,930,5,99.47%
15016748X060000,Nonpublic School,Park View Lutheran School,14,0,0,0,100.00%,14,0,0,0,0,0,14,0,100.00%
15016761Y010000,Nonpublic School,ASPIRA Antonia Pantoja Alt H S,6,0,0,0,100.00%,6,0,0,0,0,0,6,0,100.00%
15016763X060000,Nonpublic School,Christ the King Lutheran School,23,0,0,0,100.00%,23,0,0,0,0,0,23,0,100.00%
15016770S190000,Nonpublic School,So Central Comm Serv-So Shore,37,3,6,9,75.68%,37,0,0,0,0,0,37,0,100.00%
15016777P003101,Early Childhood,Foundations for Early Learning,295,0,0,0,100.00%,295,0,0,0,0,0,295,0,100.00%
15016778Z140000,Nonpublic School,CS Academy,46,0,0,0,100.00%,46,0,0,0,0,0,46,0,100.00%
15016780P003104,Early Childhood,H G D C Child Care Center,39,1,4,5,87.18%,38,0,0,0,0,1,38,1,97.44%
15016780P003107,Early Childhood,The Gingerbread House Child Care Center Inc,70,0,0,0,100.00%,65,0,0,5,0,0,65,5,92.86%
15016780P003108,Early Childhood,Nurturing Development Learning Ctr,42,0,0,0,100.00%,42,0,0,0,0,0,42,0,100.00%
15016780P003109,Early Childhood,Nurturing Development Learning Ctr,37,0,0,0,100.00%,37,0,0,0,0,0,37,0,100.00%
15016780P003114,Early Childhood,Pee Wees,28,0,1,1,96.43%,28,0,0,0,0,0,28,0,100.00%
15016780P003115,Early Childhood,Small World,35,0,0,0,100.00%,35,0,0,0,0,0,35,0,100.00%
15016780P003116,Early Childhood,ABC Childrens Center,40,0,0,0,100.00%,40,0,0,0,0,0,40,0,100.00%
15016780P003118,Early Childhood,Bright Visions Learning Academy Inc,20,0,0,0,100.00%,20,0,0,0,0,0,20,0,100.00%
15016780P003119,Early Childhood,First Step Child Care Center Inc,138,0,0,0,100.00%,138,0,0,0,0,0,138,0,100.00%
15016780P003123,Early Childhood,Kiddie Kulture Child Care,34,0,1,1,97.06%,34,0,0,0,0,0,34,0,100.00%
15016780P003125,Early Childhood,Grandma Jones Daycare,35,0,0,0,100.00%,35,0,0,0,0,0,35,0,100.00%
15016780P003126,Early Childhood,Small World - Melrose,29,0,0,0,100.00%,29,0,0,0,0,0,29,0,100.00%
15016780P003127,Early Childhood,Childrens Home Center II,72,0,0,0,100.00%,71,0,1,0,0,0,71,1,98.61%
15016780P003128,Early Childhood,Cuddle Care,38,0,0,0,100.00%,38,0,0,0,0,0,38,0,100.00%
15016780P003130,Early Childhood,Safari Life Childcare,40,0,0,0,100.00%,40,0,0,0,0,0,40,0,100.00%
15016780P003131,Early Childhood,Mother Goose Learning Center Inc,40,0,4,1,90.00%,40,0,0,0,0,0,40,0,100.00%
15016780X010000,Nonpublic School,Latin School of Chicago Lower,376,0,0,0,100.00%,373,1,1,1,0,0,373,3,99.20%
15016781X050000,Nonpublic School,Yeshiva Ohr Boruch,187,13,0,1,93.05%,164,9,0,8,0,6,164,23,87.70%
15016785Y010000,Nonpublic School,Latin School of Chicago Upper,765,0,0,0,100.00%,763,1,0,1,0,0,763,2,99.74%
15016791Y050000,Nonpublic School,Lubavitch Mesivta of Chicago,113,0,0,0,100.00%,103,5,0,5,0,0,103,10,91.15%
15016796Y010000,Nonpublic School,Chicago Academy for the Arts,142,0,0,0,100.00%,137,1,0,4,0,0,137,5,96.48%
15016806X100000,Nonpublic School,Frances Xavier Warde Schools,952,0,0,0,100.00%,944,5,0,3,0,0,944,8,99.16%
15016815X230000,Nonpublic School,ICCI Academy,70,0,0,0,100.00%,68,1,0,1,0,0,68,2,97.14%
15016822X230000,Nonpublic School,ICC Full Time School,120,0,0,0,100.00%,120,0,0,0,0,0,120,0,100.00%
15016823Y050000,Nonpublic School,Yeshivas Meor Hatorah,31,0,0,0,100.00%,31,0,0,0,0,0,31,0,100.00%
15016824Y050000,Nonpublic School,Lubavitch Girls High Sch,92,6,0,0,93.48%,80,6,0,2,0,4,80,12,86.96%
15016831Z230000,Nonpublic School,Muhammad University,189,45,0,0,76.19%,96,0,48,0,0,45,96,93,50.79%
15016838X160000,Nonpublic School,Council Oak Montessori School,55,0,0,0,100.00%,55,0,0,0,0,0,55,0,100.00%
15016845Y050000,Nonpublic School,Bais Yaakov High Sch of Chicago,172,0,0,0,100.00%,172,0,0,0,0,0,172,0,100.00%
15016862Y010000,Nonpublic School,West Town Academy,160,0,1,0,99.38%,160,0,0,0,0,0,160,0,100.00%
15016864Y050000,Nonpublic School,Hanna Sacks Bais Yaakov High Sch,142,0,0,0,100.00%,142,0,0,0,0,0,142,0,100.00%
15016892X100000,Nonpublic School,Cardinal Bernardin Center,180,0,0,0,100.00%,178,1,1,0,0,0,178,2,98.89%
15016894X200000,Nonpublic School,Oakdale Christian Academy,211,0,3,0,98.58%,193,0,1,17,0,0,193,18,91.47%
15016898Y260000,Nonpublic School,Chicago Hope Academy,177,0,0,0,100.00%,174,3,0,0,0,0,174,3,98.31%
15016900025201C,Horizon Science Acad-McKinley Park,Horizon Science Acad-McKinley Park,560,0,0,0,100.00%,445,0,0,115,0,0,445,115,79.46%
15016900X030000,Nonpublic School,Chicago West Side Christian Sch,185,8,0,1,95.68%,184,0,0,0,0,1,184,1,99.46%
15016901025201C,Horizon Science Acad-Belmont,Horizon Science Acad-Belmont,357,40,0,0,88.80%,317,1,0,22,0,17,317,40,88.80%
15016905Z010000,Nonpublic School,GCE Lab School,40,0,0,0,100.00%,39,1,0,0,0,0,39,1,97.50%
15016910X160000,Nonpublic School,Near North Montessori School,517,0,0,0,100.00%,496,11,0,10,0,0,496,21,95.94%
15016927X160000,Nonpublic School,Wonder Montessori School,60,0,0,0,100.00%,60,0,0,0,0,0,60,0,100.00%
15016931X010000,Nonpublic School,Kidwatch Plus Inc,39,0,0,0,100.00%,39,0,0,0,0,0,39,0,100.00%
15016949Y030000,Nonpublic School,Cornerstone Academy,22,0,0,0,100.00%,22,0,0,0,0,0,22,0,100.00%
15016950X010000,Nonpublic School,P L A I D Academy,37,0,0,0,100.00%,37,0,0,0,0,0,37,0,100.00%
15016957Y010000,Nonpublic School,Academy of Scholastic Achievement,184,0,0,0,100.00%,184,0,0,0,0,0,184,0,100.00%
15016962X100000,Nonpublic School,Children of Peace School,225,7,0,7,96.89%,219,0,0,1,0,5,219,6,97.33%
15016970X100000,Nonpublic School,San Miguel/Back-of-the-Yards,90,0,0,0,100.00%,90,0,0,0,0,0,90,0,100.00%
15016974Z010000,Nonpublic School,Lycee Francais De Chicago,704,0,0,0,100.00%,703,0,0,1,0,0,703,1,99.86%
15016975Y010000,Nonpublic School,Austin Career Education Center,180,0,10,0,94.44%,180,0,0,0,0,0,180,0,100.00%
15016985Y100000,Nonpublic School,Cristo Rey Jesuit High School,541,0,0,0,100.00%,541,0,0,0,0,0,541,0,100.00%
15016994X010000,Nonpublic School,Chicago City Day School,253,0,0,0,100.00%,252,1,0,0,0,0,252,1,99.60%
15016996X260000,Nonpublic School,Rescue Missionary Christian Sch,10,1,0,0,90.00%,9,0,0,0,0,1,9,1,90.00%
16019001X100000,Nonpublic School,St Mary School,241,0,0,0,100.00%,234,0,0,7,0,0,234,7,97.10%
16019003X100000,Nonpublic School,St Mary,162,0,0,0,100.00%,161,0,0,1,0,0,161,1,99.38%
16019100Z260000,Nonpublic School,Cornerstone Christian Academy,267,0,0,0,100.00%,245,21,0,1,0,0,245,22,91.76%
160194240260001,Genoa Kingston CUSD 424,Genoa-Kingston High School,607,0,0,0,100.00%,603,2,2,0,0,0,603,4,99.34%
160194240261003,Genoa Kingston CUSD 424,Genoa-Kingston Middle School,436,0,0,0,100.00%,434,2,0,0,0,0,434,2,99.54%
160194240262002,Genoa Kingston CUSD 424,Davenport Elementary School,237,0,0,0,100.00%,233,4,0,0,0,0,233,4,98.31%
160194240262004,Genoa Kingston CUSD 424,Kingston Elementary School,236,0,0,0,100.00%,234,2,0,0,0,0,234,2,99.15%
160194240262005,Genoa Kingston CUSD 424,Genoa Elementary School,264,0,0,0,100.00%,260,4,0,0,0,0,260,4,98.48%
160194250260001,Indian Creek CUSD 425,Indian Creek High School,250,0,0,0,100.00%,250,0,0,0,0,0,250,0,100.00%
160194250261001,Indian Creek CUSD 425,Indian Creek Middle School,161,0,0,0,100.00%,161,0,0,0,0,0,161,0,100.00%
160194250262001,Indian Creek CUSD 425,Waterman Elem School,121,0,0,0,100.00%,121,0,0,0,0,0,121,0,100.00%
160194250262002,Indian Creek CUSD 425,Shabbona Elem School,213,0,0,0,100.00%,213,0,0,0,0,0,213,0,100.00%
160194260260003,Hiawatha CUSD 426,Hiawatha High School,161,1,2,3,98.14%,158,3,0,0,0,0,158,3,98.14%
160194260262001,Hiawatha CUSD 426,Hiawatha Elem Sch PreK-8,425,4,3,6,98.35%,415,9,0,0,0,1,415,10,97.65%
160194270260001,Sycamore CUSD 427,Sycamore High School,"1,195",7,0,0,99.41%,"1,181",14,0,0,0,0,"1,181",14,98.83%
160194270261002,Sycamore CUSD 427,Sycamore Middle School,932,0,0,0,100.00%,921,10,1,0,0,0,921,11,98.82%
160194270262004,Sycamore CUSD 427,North Elementary School,287,0,0,0,100.00%,283,4,0,0,0,0,283,4,98.61%
160194270262005,Sycamore CUSD 427,Southeast Elem School,317,0,0,0,100.00%,313,4,0,0,0,0,313,4,98.74%
160194270262006,Sycamore CUSD 427,West Elem School,295,0,0,0,100.00%,288,5,0,2,0,0,288,7,97.63%
160194270262007,Sycamore CUSD 427,South Prairie Elementary School,322,0,0,0,100.00%,316,5,1,0,0,0,316,6,98.14%
160194270262008,Sycamore CUSD 427,North Grove Elementary School,421,0,0,0,100.00%,410,6,1,4,0,0,410,11,97.39%
160194280260011,DeKalb CUSD 428,De Kalb High School,"1,724",12,1,12,99.25%,"1,706",12,1,0,0,5,"1,706",18,98.96%
160194280261010,DeKalb CUSD 428,Huntley Middle School,891,0,6,6,99.33%,886,3,2,0,0,0,886,5,99.44%
160194280262005,DeKalb CUSD 428,Jefferson Elem School,288,2,1,3,98.96%,286,0,0,0,0,2,286,2,99.31%
160194280262006,DeKalb CUSD 428,Lincoln Elementary School,301,2,3,5,98.34%,295,2,3,0,0,1,295,6,98.01%
160194280262007,DeKalb CUSD 428,Littlejohn Elem School,366,0,0,0,100.00%,356,7,1,2,0,0,356,10,97.27%
160194280262008,DeKalb CUSD 428,Tyler Elementary School,246,0,0,0,100.00%,240,6,0,0,0,0,240,6,97.56%
160194280262009,DeKalb CUSD 428,Cortland Elementary School,536,3,0,3,99.44%,526,8,0,0,0,2,526,10,98.13%
160194280262010,DeKalb CUSD 428,Clinton Rosette Middle School,536,1,0,1,99.81%,532,4,0,0,0,0,532,4,99.25%
160194280262011,DeKalb CUSD 428,Gwendolyn Brooks Elem Sch,338,1,0,1,99.70%,324,9,0,4,0,1,324,14,95.86%
160194280262012,DeKalb CUSD 428,Malta Elementary School,305,0,0,0,100.00%,297,5,1,2,0,0,297,8,97.38%
160194280262014,DeKalb CUSD 428,Founders Elementary School,585,1,3,4,99.32%,579,4,1,0,0,1,579,6,98.97%
160194290260003,Hinckley Big Rock CUSD 429,Hinckley-Big Rock High School,221,9,0,1,95.93%,212,0,0,1,0,8,212,9,95.93%
160194290262001,Hinckley Big Rock CUSD 429,Hinckley-Big Rock Middle Sch,160,6,0,2,96.25%,155,0,1,0,0,4,155,5,96.88%
160194290262002,Hinckley Big Rock CUSD 429,Hinckley-Big Rock Elem Sch,313,16,0,0,94.89%,292,3,1,1,0,16,292,21,93.29%
160194300260001,Sandwich CUSD 430,Sandwich Community High School,735,1,0,0,99.86%,731,0,0,0,4,0,731,4,99.46%
160194300261001,Sandwich CUSD 430,Sandwich Middle School,512,0,0,0,100.00%,512,0,0,0,0,0,512,0,100.00%
160194300262003,Sandwich CUSD 430,Lynn G Haskin Elementary School,221,1,1,2,99.10%,215,4,0,2,0,0,215,6,97.29%
160194300262004,Sandwich CUSD 430,W W Woodbury Elem School,202,2,0,0,99.01%,198,1,0,1,0,2,198,4,98.02%
160194300262006,Sandwich CUSD 430,Prairie View Elem School,170,0,0,0,100.00%,167,3,0,0,0,0,167,3,98.24%
160194300262007,Sandwich CUSD 430,Herman E Dummer,295,0,0,0,100.00%,291,4,0,0,0,0,291,4,98.64%
160194320260003,Somonauk CUSD 432,Somonauk High School,289,12,5,0,94.12%,284,0,0,0,0,5,284,5,98.27%
160194320261001,Somonauk CUSD 432,Somonauk Middle School,254,8,4,0,95.28%,248,5,0,0,0,1,248,6,97.64%
160194320262001,Somonauk CUSD 432,James R Wood Elem School,268,8,8,0,94.03%,256,5,0,0,0,7,256,12,95.52%
170200150260001,Clinton CUSD 15,Clinton High School,601,0,2,0,99.67%,599,2,0,0,0,0,599,2,99.67%
170200150261002,Clinton CUSD 15,Clinton Jr High School,474,0,0,0,100.00%,471,3,0,0,0,0,471,3,99.37%
170200150262003,Clinton CUSD 15,Douglas Elem School,169,2,0,1,98.82%,159,3,2,4,0,1,159,10,94.08%
170200150262004,Clinton CUSD 15,Clinton Elem School,551,0,0,0,100.00%,547,3,1,0,0,0,547,4,99.27%
170200150262005,Clinton CUSD 15,Lincoln Elem School,214,1,0,0,99.53%,208,2,0,3,0,1,208,6,97.20%
170200180260001,Blue Ridge CUSD 18,Blue Ridge High School,230,2,0,2,99.13%,230,0,0,0,0,0,230,0,100.00%
170200180262003,Blue Ridge CUSD 18,Ruth M Schneider Elem School,277,15,0,0,94.58%,269,1,0,0,0,7,269,8,97.11%
170200180262005,Blue Ridge CUSD 18,Blue Ridge Intermediate-Jr High Sch,278,0,3,3,98.92%,277,0,1,0,0,0,277,1,99.64%
17053002X100000,Nonpublic School,St Mary School,178,0,0,0,100.00%,178,0,0,0,0,0,178,0,100.00%
17053003X100000,Nonpublic School,St Paul School,42,0,0,0,100.00%,42,0,0,0,0,0,42,0,100.00%
170530050262001,Woodland CUSD 5,Woodland Elementary/Jr High Sch,480,11,7,0,96.25%,473,3,0,0,0,4,473,7,98.54%
17053005X260000,Nonpublic School,Pontiac Christian School,44,0,0,0,100.00%,41,3,0,0,0,0,41,3,93.18%
17053006J260001,Tri Point CUSD 6-J,Tri-Point High School,124,0,0,0,100.00%,123,0,1,0,0,0,123,1,99.19%
17053006J262005,Tri Point CUSD 6-J,Tri Point Elementary School,138,2,1,0,97.83%,136,0,0,0,0,2,136,2,98.55%
17053006J262006,Tri Point CUSD 6-J,Tri-Point Jr High/Elementary,166,0,0,0,100.00%,166,0,0,0,0,0,166,0,100.00%
170530080260001,Prairie Central CUSD 8,Prairie Central High School,636,88,9,0,84.75%,623,0,0,0,0,13,623,13,97.96%
170530080261001,Prairie Central CUSD 8,Prairie Central Jr High School,297,0,0,0,100.00%,294,1,0,2,0,0,294,3,98.99%
170530080262001,Prairie Central CUSD 8,Chenoa Elem School,189,15,7,0,88.36%,179,0,1,0,0,9,179,10,94.71%
170530080262002,Prairie Central CUSD 8,Meadowbrook Elem School,165,0,0,0,100.00%,163,0,0,2,0,0,163,2,98.79%
170530080262005,Prairie Central CUSD 8,Westview Elem School,433,47,33,0,81.52%,390,3,3,0,0,37,390,43,90.07%
170530080262006,Prairie Central CUSD 8,Chatsworth Grade School,138,0,0,0,100.00%,134,1,0,3,0,0,134,4,97.10%
170530080262007,Prairie Central CUSD 8,Prairie Central Upper Elementary,290,0,0,0,100.00%,287,2,0,1,0,0,287,3,98.97%
17053028Y140000,Nonpublic School,Salem Ranch Jr & Sr High Sch,20,0,0,0,100.00%,18,2,0,0,0,0,18,2,90.00%
17053029X010000,Nonpublic School,Grace Christian School,13,0,0,0,100.00%,11,2,0,0,0,0,11,2,84.62%
170530740270001,Flanagan-Cornell Dist 74,Flanagan-Cornell High School,137,11,0,0,91.97%,137,0,0,0,0,0,137,0,100.00%
170530740272001,Flanagan-Cornell Dist 74,Flanagan Elem School,203,2,1,0,98.52%,199,3,0,0,0,1,199,4,98.03%
170530900170001,Pontiac Twp HSD 90,Pontiac High School,709,0,0,0,100.00%,708,1,0,0,0,0,708,1,99.86%
170532300170001,Dwight Twp HSD 230,Dwight High School,305,4,0,3,98.69%,304,0,1,0,0,0,304,1,99.67%
170532320022001,Dwight Common SD 232,Dwight Common School,575,5,0,1,99.13%,556,13,1,3,0,2,556,19,96.70%
170534250042001,Rooks Creek CCSD 425,Graymont Elem School,50,0,0,0,100.00%,48,2,0,0,0,0,48,2,96.00%
170534260042001,Cornell CCSD 426,Cornell Elem School,105,9,0,0,91.43%,101,2,0,0,0,2,101,4,96.19%
170534290041001,Pontiac CCSD 429,Pontiac Jr High School,390,1,1,2,99.49%,390,0,0,0,0,0,390,0,100.00%
170534290042002,Pontiac CCSD 429,Central Elem School,371,0,0,0,100.00%,366,1,0,4,0,0,366,5,98.65%
170534290042004,Pontiac CCSD 429,Lincoln Elementary School,254,0,0,0,100.00%,254,0,0,0,0,0,254,0,100.00%
170534290042005,Pontiac CCSD 429,Washington Elem School,262,0,0,0,100.00%,262,0,0,0,0,0,262,0,100.00%
170534350042001,Odell CCSD 435,Odell Grade School,153,0,0,0,100.00%,145,0,0,3,5,0,145,8,94.77%
17064001X100000,Nonpublic School,Epiphany School,308,0,0,0,100.00%,308,0,0,0,0,0,308,0,100.00%
170640020260003,LeRoy CUSD 2,LeRoy High School,238,4,3,0,97.06%,236,1,0,0,0,1,236,2,99.16%
170640020261002,LeRoy CUSD 2,LeRoy Junior High School,119,0,0,0,100.00%,119,0,0,0,0,0,119,0,100.00%
170640020262001,LeRoy CUSD 2,LeRoy Elementary School,462,0,0,0,100.00%,462,0,0,0,0,0,462,0,100.00%
17064002X100000,Nonpublic School,Holy Trinity Catholic School,469,0,0,0,100.00%,466,3,0,0,0,0,466,3,99.36%
170640030260002,Tri Valley CUSD 3,Tri-Valley High School,326,2,0,0,99.39%,324,2,0,0,0,0,324,2,99.39%
170640030261001,Tri Valley CUSD 3,Tri-Valley Middle School,398,11,0,0,97.24%,394,4,0,0,0,0,394,4,98.99%
170640030262001,Tri Valley CUSD 3,Tri-Valley Elem School,267,11,0,0,95.88%,254,12,1,0,0,0,254,13,95.13%
17064003Y100000,Nonpublic School,Central Catholic High School,331,0,0,0,100.00%,331,0,0,0,0,0,331,0,100.00%
170640040260001,Heyworth CUSD 4,Heyworth Jr-Sr High School,421,2,0,1,99.52%,416,3,0,2,0,0,416,5,98.81%
170640040262002,Heyworth CUSD 4,Heyworth Elem School,549,6,0,6,98.91%,538,4,1,2,0,4,538,11,98.00%
17064004X060000,Nonpublic School,Trinity Lutheran,352,0,0,0,100.00%,338,14,0,0,0,0,338,14,96.02%
170640050260001,McLean County USD 5,Normal Community High School,"2,041",19,1,3,99.02%,"2,017",13,0,2,0,9,"2,017",24,98.82%
170640050260002,McLean County USD 5,Normal Community West High School,"1,666",18,26,2,97.36%,"1,654",9,2,0,1,0,"1,654",12,99.28%
17064005026001C,McLean County USD 5,YBMC Charter Sch,34,0,0,0,100.00%,34,0,0,0,0,0,34,0,100.00%
170640050261002,McLean County USD 5,Chiddix Jr High School,734,0,0,0,100.00%,730,3,1,0,0,0,730,4,99.46%
170640050261003,McLean County USD 5,Parkside Jr High School,717,0,1,1,99.86%,710,7,0,0,0,0,710,7,99.02%
170640050261004,McLean County USD 5,Kingsley Jr High School,915,4,6,6,98.91%,906,7,1,1,0,0,906,9,99.02%
170640050261005,McLean County USD 5,Evans Junior High School,813,16,0,16,98.03%,807,5,0,1,0,0,807,6,99.26%
170640050262002,McLean County USD 5,Sugar Creek Elem School,515,5,0,5,99.03%,505,7,0,0,0,3,505,10,98.06%
170640050262003,McLean County USD 5,Cedar Ridge Elem School,496,2,3,5,98.99%,492,2,0,0,0,2,492,4,99.19%
170640050262004,McLean County USD 5,Carlock Elem School,115,0,0,0,100.00%,114,1,0,0,0,0,114,1,99.13%
170640050262005,McLean County USD 5,Fairview Elem School,276,2,1,3,98.91%,273,1,0,0,0,2,273,3,98.91%
170640050262007,McLean County USD 5,Glenn Elem School,268,2,1,3,98.88%,258,9,0,0,0,1,258,10,96.27%
170640050262008,McLean County USD 5,Colene Hoose Elem School,508,1,0,0,99.80%,494,11,0,2,0,1,494,14,97.24%
170640050262009,McLean County USD 5,Hudson Elem School,342,0,0,0,100.00%,339,3,0,0,0,0,339,3,99.12%
170640050262010,McLean County USD 5,Oakdale Elem School,427,7,0,3,98.36%,413,8,0,0,0,6,413,14,96.72%
170640050262012,McLean County USD 5,Northpoint Elementary School,637,0,0,0,100.00%,634,2,1,0,0,0,634,3,99.53%
170640050262013,McLean County USD 5,Parkside Elementary School,340,2,1,3,99.12%,335,3,0,0,0,2,335,5,98.53%
170640050262014,McLean County USD 5,Towanda Elem School,182,0,0,0,100.00%,179,3,0,0,0,0,179,3,98.35%
170640050262015,McLean County USD 5,Pepper Ridge Elementary School,415,5,0,5,98.80%,408,2,0,0,0,5,408,7,98.31%
170640050262016,McLean County USD 5,Prairieland Elementary School,550,0,0,0,100.00%,543,7,0,0,0,0,543,7,98.73%
170640050262017,McLean County USD 5,Fox Creek Elementary School,348,3,0,3,99.14%,343,2,0,0,0,3,343,5,98.56%
170640050262018,McLean County USD 5,Grove Elementary School,636,0,0,0,100.00%,634,2,0,0,0,0,634,2,99.69%
170640050262019,McLean County USD 5,Benjamin Elem School,584,0,0,0,100.00%,575,7,2,0,0,0,575,9,98.46%
170640050263001,McLean County USD 5,Brigham Elementary,119,3,1,4,96.64%,118,0,0,0,0,1,118,1,99.16%
17064006X100000,Nonpublic School,St Mary School,141,0,0,0,100.00%,133,0,0,8,0,0,133,8,94.33%
170640070260002,Lexington CUSD 7,Lexington High School,146,0,0,0,100.00%,145,1,0,0,0,0,145,1,99.32%
170640070261001,Lexington CUSD 7,Lexington Jr High School,74,0,0,0,100.00%,74,0,0,0,0,0,74,0,100.00%
170640070262001,Lexington CUSD 7,Lexington Elem School,289,0,0,0,100.00%,288,0,1,0,0,0,288,1,99.65%
17064008Y010000,Nonpublic School,Youthbuild Academy,11,0,0,0,100.00%,11,0,0,0,0,0,11,0,100.00%
17064009X140000,Nonpublic School,Christian Life Academy,54,2,0,0,96.30%,46,2,4,0,0,2,46,8,85.19%
17064011Z020000,Nonpublic School,Calvary Baptist Academy,258,0,0,0,100.00%,251,6,1,0,0,0,251,7,97.29%
17064012X010000,Nonpublic School,Mulberry School,72,9,0,0,87.50%,62,6,1,0,0,3,62,10,86.11%
170640160260009,Olympia CUSD 16,Olympia High School,552,1,0,1,99.82%,544,8,0,0,0,0,544,8,98.55%
170640160261001,Olympia CUSD 16,Olympia Middle School,418,0,0,0,100.00%,412,5,1,0,0,0,412,6,98.56%
170640160262002,Olympia CUSD 16,Olympia South Elem Sch,350,0,0,0,100.00%,343,3,2,2,0,0,343,7,98.00%
170640160262003,Olympia CUSD 16,Olympia North Elem Sch,265,0,0,0,100.00%,262,2,1,0,0,0,262,3,98.87%
170640160262006,Olympia CUSD 16,Olympia West Elem Sch,273,0,0,0,100.00%,271,2,0,0,0,0,271,2,99.27%
170640190260001,Ridgeview CUSD 19,Ridgeview High School,162,1,0,0,99.38%,159,3,0,0,0,0,159,3,98.15%
170640190261001,Ridgeview CUSD 19,Ridgeview Jr High School,130,1,0,0,99.23%,130,0,0,0,0,0,130,0,100.00%
170640190262002,Ridgeview CUSD 19,Ridgeview Elementary School,315,0,2,0,99.37%,310,2,0,3,0,0,310,5,98.41%
17064027X260000,Nonpublic School,Cornerstone Christian Academy,381,0,0,0,100.00%,370,11,0,0,0,0,370,11,97.11%
170640870250001,Bloomington SD 87,Bloomington High School,"1,381",29,4,0,97.61%,"1,368",5,0,0,0,8,"1,368",13,99.06%
170640870251002,Bloomington SD 87,Bloomington Jr High School,"1,216",19,14,33,97.29%,"1,208",8,0,0,0,0,"1,208",8,99.34%
170640870252003,Bloomington SD 87,Bent Elem School,410,3,0,0,99.27%,405,2,0,0,0,3,405,5,98.78%
170640870252006,Bloomington SD 87,Irving Elementary School,360,3,0,3,99.17%,349,1,0,1,6,3,349,11,96.94%
170640870252009,Bloomington SD 87,Oakland Elementary School,492,3,2,5,98.98%,486,3,0,0,0,3,486,6,98.78%
170640870252011,Bloomington SD 87,Sheridan Elem School,391,6,2,6,97.95%,383,3,1,0,0,4,383,8,97.95%
170640870252012,Bloomington SD 87,Stevenson Elem School,468,10,0,1,97.86%,456,3,0,0,0,9,456,12,97.44%
170640870252013,Bloomington SD 87,Washington Elem School,471,0,0,0,100.00%,464,5,1,1,0,0,464,7,98.51%
170640870253001,Bloomington SD 87,Sarah A Raymond Sch of Early Educ,193,3,3,3,96.89%,190,0,0,0,0,3,190,3,98.45%
19022001X060000,Nonpublic School,Bethany Lutheran School,257,16,0,0,93.77%,235,4,1,1,0,16,235,22,91.44%
190220020021001,Bensenville SD 2,Blackhawk Middle School,644,9,0,0,98.60%,644,0,0,0,0,0,644,0,100.00%
190220020022005,Bensenville SD 2,W A Johnson Sch,696,2,0,0,99.71%,685,2,5,3,0,1,685,11,98.42%
190220020022006,Bensenville SD 2,Tioga Elementary School,797,8,0,0,99.00%,784,0,0,5,0,8,784,13,98.37%
