Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
050160230022005,Prospect Heights SD 23,Anne Sullivan Elem School,364,2,0,0,99.45%,358,2,0,1,2,1,358,6,98.35%
050160250021014,Arlington Heights SD 25,South Middle School,871,0,0,0,100.00%,866,4,0,1,0,0,866,5,99.43%
050160250021015,Arlington Heights SD 25,Thomas Middle School,917,0,0,0,100.00%,909,7,1,0,0,0,909,8,99.13%
050160250022002,Arlington Heights SD 25,Dryden Elem School,496,0,0,0,100.00%,493,3,0,0,0,0,493,3,99.40%
050160250022004,Arlington Heights SD 25,Greenbrier Elem School,383,0,0,0,100.00%,371,8,1,3,0,0,371,12,96.87%
050160250022005,Arlington Heights SD 25,Ivy Hill Elem School,557,0,0,0,100.00%,555,0,0,2,0,0,555,2,99.64%
050160250022009,Arlington Heights SD 25,Olive-Mary Stitt School,597,0,0,0,100.00%,586,11,0,0,0,0,586,11,98.16%
050160250022011,Arlington Heights SD 25,Patton Elem School,453,1,0,0,99.78%,443,7,2,0,0,1,443,10,97.79%
050160250022016,Arlington Heights SD 25,Westgate Elem School,623,0,0,0,100.00%,605,5,0,13,0,0,605,18,97.11%
050160250022018,Arlington Heights SD 25,Windsor Elementary School,475,0,0,0,100.00%,472,1,0,2,0,0,472,3,99.37%
050160260021006,River Trails SD 26,River Trails Middle School,459,0,0,0,100.00%,457,2,0,0,0,0,457,2,99.56%
050160260022001,River Trails SD 26,Euclid Elem School,472,0,0,0,100.00%,471,0,0,1,0,0,471,1,99.79%
050160260022003,River Trails SD 26,Indian Grove Elem School,465,0,1,0,99.78%,456,8,0,1,0,0,456,9,98.06%
050160270021005,Northbrook ESD 27,Wood Oaks Jr High School,435,0,0,0,100.00%,434,1,0,0,0,0,434,1,99.77%
050160270022002,Northbrook ESD 27,Hickory Point Elem School,352,0,0,0,100.00%,350,1,0,1,0,0,350,2,99.43%
050160270022004,Northbrook ESD 27,Shabonee School,406,0,0,0,100.00%,405,1,0,0,0,0,405,1,99.75%
050160280021004,Northbrook SD 28,Northbrook Junior High School,613,0,0,0,100.00%,611,1,1,0,0,0,611,2,99.67%
050160280022002,Northbrook SD 28,Greenbriar Elem School,390,0,0,0,100.00%,386,4,0,0,0,0,386,4,98.97%
050160280022003,Northbrook SD 28,Meadowbrook Elem School,395,1,0,0,99.75%,383,11,0,0,0,1,383,12,96.96%
050160280022006,Northbrook SD 28,Westmoor Elem School,323,0,0,0,100.00%,318,3,0,2,0,0,318,5,98.45%
050160290022001,Sunset Ridge SD 29,Middlefork Primary School,202,3,0,0,98.51%,201,0,0,1,0,0,201,1,99.50%
050160290022002,Sunset Ridge SD 29,Sunset Ridge Elem School,284,0,0,0,100.00%,284,0,0,0,0,0,284,0,100.00%
050160300021001,Northbrook/Glenview SD 30,Maple School,411,0,0,0,100.00%,410,1,0,0,0,0,410,1,99.76%
050160300022002,Northbrook/Glenview SD 30,Willowbrook Elem School,336,0,0,0,100.00%,333,2,1,0,0,0,333,3,99.11%
050160300022003,Northbrook/Glenview SD 30,Wescott Elementary School,372,0,0,0,100.00%,370,2,0,0,0,0,370,2,99.46%
050160310021001,West Northfield SD 31,Field School,305,6,0,6,98.03%,298,1,0,0,0,6,298,7,97.70%
050160310022002,West Northfield SD 31,Henry Winkelman Elem School,594,8,1,5,98.48%,586,2,0,1,0,5,586,8,98.65%
050160340041006,Glenview CCSD 34,Attea Middle School,866,0,1,1,99.88%,861,5,0,0,0,0,861,5,99.42%
050160340041007,Glenview CCSD 34,Springman Middle School,859,12,0,0,98.60%,856,1,0,1,0,1,856,3,99.65%
050160340042001,Glenview CCSD 34,Glen Grove Elem School,526,0,0,0,100.00%,526,0,0,0,0,0,526,0,100.00%
050160340042002,Glenview CCSD 34,Henking Elem School,482,1,0,0,99.79%,474,6,0,1,0,1,474,8,98.34%
050160340042003,Glenview CCSD 34,Hoffman Elem School,602,0,0,0,100.00%,598,3,0,1,0,0,598,4,99.34%
050160340042004,Glenview CCSD 34,Lyon Elem School,469,5,0,0,98.93%,462,1,0,4,0,2,462,7,98.51%
050160340042005,Glenview CCSD 34,Pleasant Ridge Elem School,546,0,0,0,100.00%,544,1,1,0,0,0,544,2,99.63%
050160340042008,Glenview CCSD 34,Westbrook Elementary School,520,2,0,0,99.62%,509,6,0,4,1,0,509,11,97.88%
