Immunization School Survey Report 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDT,Region,District,School,Total Sch. Enroll.,Total - NC,Unduplic.,Total Excluded,NC-PE Only,Polio Prot.,Polio Rel.,Polio Med.,Polio App. Sch.,Polio UP/NC,Polio Total,DTP Prot.,DTP-Rel.,DTP-Med.,DTP-AS,DTP-UP/NC,DTP-Total,Meas. Prot.,Meas. Rel.,Meas. Med.,Meas. AS,Meas. UP/NC,Meas. Total,Rubella Prot.,Rubella-Rel.,Rubella-Med.,Rubella-AS,Rubella-UP/NC,Rubella-Total,Mump Prot.,Mump Rel.,Mump Med.,Mump AS,Mump UP/NC,Mump Total,HepB Prot.,HepB Rel.,HepB Med.,HepB AS,HepB Excluded,HepB UP/NC,HepB Total,Hib Prot.,Hib Rel.,Hib Med.,Hib AS,Hib Excluded,Hib UP/NC,Hib Total,Cpox Prot.,Cpox Rel.,Cpox Med.,Cpox AS,Cpox UP/NC,Cpox Total,,,,
02002005026,02,0050,2003,198,0,0,0,0,198,0,0,0,0,198,198,0,0,0,0,198,198,0,0,0,0,198,198,0,0,0,0,198,198,0,0,0,0,198,105,0,0,0,93,0,105,0,0,0,0,198,0,0,0,0,0,0,0,0,,,,
Totals Alexander County,,,,"1,591",25,21,24,4,"1,583",1,0,3,4,"1,591","1,568",1,0,4,18,"1,591","1,583",1,0,2,5,"1,591","1,583",1,0,2,5,"1,591","1,583",1,0,2,5,"1,591",957,1,0,5,625,3,966,319,0,0,1,"1,271",0,320,423,0,11,1,3,438,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03003001026,03,0010,1001,76,0,0,0,0,76,0,0,0,0,76,75,0,0,1,0,76,76,0,0,0,0,76,76,0,0,0,0,76,76,0,0,0,0,76,74,0,0,2,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,0,,,,
03003001026,03,0010,2001,258,0,0,0,0,258,0,0,0,0,258,258,0,0,0,0,258,258,0,0,0,0,258,258,0,0,0,0,258,258,0,0,0,0,258,101,0,0,2,155,0,103,35,0,0,2,221,0,37,128,1,0,2,0,131,,,,
03003001026,02,0010,2005,121,1,1,0,0,121,0,0,0,0,121,121,0,0,0,0,121,121,0,0,0,0,121,121,0,0,0,0,121,121,0,0,0,0,121,34,0,0,0,87,0,34,10,0,0,0,111,0,10,65,0,0,0,1,66,,,,
03003002026,03,0020,1002,325,1,0,1,1,325,0,0,0,0,325,325,0,0,0,0,325,323,0,2,0,0,325,323,0,2,0,0,325,323,0,2,0,0,325,325,0,0,0,0,0,325,0,0,0,0,325,0,0,0,0,0,0,0,0,,,,
03003002026,03,0020,2003,584,4,2,4,2,579,1,0,2,2,584,579,1,0,2,2,584,578,1,1,2,2,584,578,1,1,2,2,584,578,1,1,2,2,584,194,1,0,0,389,0,195,89,0,0,0,495,0,89,376,0,0,2,2,380,,,,
03003002026,03,0020,2004,234,1,1,1,0,230,2,0,1,1,234,230,2,0,1,1,234,229,2,1,1,1,234,229,2,1,1,1,234,229,2,1,1,1,234,114,2,0,2,116,0,118,40,0,0,0,194,0,40,106,2,0,1,0,109,,,,
03003002026,03,0020,0001,542,3,1,3,2,540,2,0,0,0,542,533,2,0,6,1,542,539,2,1,0,0,542,539,2,1,0,0,542,539,2,1,0,0,542,540,2,0,0,0,0,542,0,0,0,0,542,0,0,0,0,0,0,0,0,,,,
03003002026,03,0020,0001,139,0,0,0,0,139,0,0,0,0,139,138,0,0,1,0,139,139,0,0,0,0,139,139,0,0,0,0,139,139,0,0,0,0,139,139,0,0,0,0,0,139,0,0,0,0,139,0,0,0,0,0,0,0,0,,,,
