2009-2010 School Year Immunization Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDTS,Facility,RCDT,School,Enrollment,TotalNC,UnduplCount,NCPE,Excluded,PolioProt,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal
140160590042002,Adm Richard E Byrd Elem School,14016059004,2002,341,0,0,0,0,341,0,0,0,0,341,340,0,0,0,1,341,340,0,0,0,1,341,340,0,0,0,1,341,340,0,0,0,1,341,56,0,0,0,0,56,0,0,0,0,0,0,341,0,0,0,0,341
140160540042023,Adolph Link Elem School,14016054004,2023,541,1,1,0,0,531,1,0,8,1,541,530,1,0,8,2,541,530,1,1,8,1,541,530,1,1,8,1,541,530,1,1,8,1,541,167,0,1,2,0,170,0,0,0,0,0,0,530,1,2,7,1,541
140160540043102,Advance Preschool,14016054004,3102,19,4,4,0,0,14,5,0,0,0,19,12,7,0,0,0,19,14,5,0,0,0,19,14,5,0,0,0,19,14,5,0,0,0,19,12,7,0,0,0,19,15,4,0,0,0,19,14,5,0,0,0,19
21100015Y260000,Agape Christian High School,21100015Y26,0000,57,2,0,2,0,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
14016634X260000,Agape Love Academy,14016634X26,0000,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2
150162990252052,Agassiz Elem School,15016299025,2052,400,39,24,15,6,388,8,0,4,0,400,381,15,0,4,0,400,384,12,0,4,0,400,388,9,0,3,0,400,388,9,0,3,0,400,179,5,2,1,0,187,53,2,0,1,0,56,357,10,0,4,0,371
150162990250848,Air Force Acad High School,15016299025,0848,126,2,2,0,3,126,0,0,0,0,126,122,2,0,0,2,126,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,125,0,0,0,1,126,0,0,0,0,0,0,0,0,0,0,0,0
14016210X050000,Akiba-Schechter Day School,14016210X05,0000,214,20,20,0,0,189,14,0,4,7,214,182,21,0,4,7,214,181,23,0,4,6,214,181,22,0,4,7,214,181,22,0,4,7,214,97,31,1,3,5,137,64,25,0,3,5,97,177,20,0,4,7,208
210280910042001,Akin Comm Cons Elem School,21028091004,2001,126,1,1,0,0,124,1,0,0,1,126,124,1,0,0,1,126,124,1,0,0,1,126,124,1,0,0,1,126,124,1,0,0,1,126,68,0,0,0,0,68,12,0,0,0,0,12,109,1,0,0,1,111
320460530022003,Alan B Shepard Elem School,32046053002,2003,549,25,23,2,4,525,19,0,3,2,549,526,18,0,3,2,549,526,18,0,3,2,549,526,18,0,3,2,549,526,18,0,3,2,549,0,0,0,0,0,0,0,0,0,0,0,0,525,16,1,7,0,549
